country_code,pop_urban_agglomerations_of_more_than_1_million_percent,pop_urban_agglomerations_of_more_than_1_million,pop_in_the_largest_city,pop_density,pop_living_in_slums_percent,rural_pop_percent,rural_pop_annual_growth_percent,urban_population,urban_population_annual_growth,urban_population_percent
AFG,10.7815017467297,3913297,42.6990168187315,55.5959930153479,,74.75,2.24112815187675,9164841,3.46340748347353,25.25
ALB,,,27.3479864857341,104.870693430657,,40.617,-2.43282532196503,1706345,1.54128496391169,59.383
DZA,6.4252827513111,2659373,8.91756334178298,17.3777146120063,,27.948,-0.0546470557579523,29821745,2.87137414065366,72.052
ASM,,,,278.1,,12.83,0,48484,-0.249255966476673,87.17
AND,,,,163.831914893617,,11.85,0.450327522524326,67876,-0.495265140972382,88.15
AGO,25.2051129117099,7515345,38.8733836410621,23.9165380604797,,35.161,1.37868797147526,19332881,4.39195727887042,64.839
ATG,,,,216.877272727273,,75.287,1.12260074261036,23583,0.412161453683976,24.713
ARB,23.3304544360547,,28.8990225921293,36.6698042509624,,41.3585163064466,1.22406056731232,241543664,2.46660014512928,58.6414836935534
ARG,43.1279998000218,18995646,36.8197273819288,16.0941907925267,,8.251,-0.43067305139086,40410674,1.17019595911431,91.749
ARM,36.5829838200033,1077299,57.9734407885213,103.435511064278,,36.897,0.237732038809755,1858263,0.3278856702453,63.103
ABW,,,,585.366666666667,,56.707,0.291638240327567,45616,0.703980380077249,43.293
AUS,60.6631246580543,14924257,22.277628513169,3.19836141871706,,14.096,0.949422218240633,21133982,1.80566369778429,85.904
AUT,21.3519966772628,1878456,36.7542201329014,106.607445296677,,41.906,0.244636214954562,5110858,1.02047862584527,58.094
AZE,22.9243295613075,2258971,41.4222785039453,119.197205757832,,44.657,0.262814273881358,5453517,1.56477337981076,55.343
BHS,,,,38.137962037962,,17.075,0.465907400073506,316575,1.12036469215507,82.925
BHR,,,39.0210918533139,1920.40352364259,,10.814,3.79393577846457,1332505,4.78571321625689,89.186
BGD,14.7897853676788,23614938,33.0005943094854,1226.63127448721,,64.142,-0.130771076576516,57254681,3.25524439189964,35.858
BRB,,,,665.658139534884,,68.841,0.202187554590454,89187,0.0437379096887506,31.159
BLR,20.8951341002945,1984675,26.7426894265132,46.792242075569,,21.866,-2.17456712985955,7421374,0.572798444025777,78.134
BEL,26.9085405231294,3060889,18.250677833757,375.66571994716,,2.039,-1.65392677779666,11143219,0.428116624357897,97.961
BLZ,,,,16.4738711091626,,54.399,1.7862773855118,171354,2.21275379691973,45.601
BEN,,,16.5918193700122,99.1061014544165,,53.232,1.7426080255563,5226419,3.90923505133189,46.768
BMU,,,,1182.83331244375,,0,,63873,-1.06053459607618,100
BTN,,,,19.5461414400175,,59.833,-0.0320507435490387,299472,3.05206233010632,40.167
BOL,41.0761276793211,4597591,23.161167114846,10.3321831440967,,30.92,0.349224875317859,7732024,1.94554356773789,69.08
BIH,,,21.3457503130108,65.45951171875,,52.124,-1.71569907978279,1604577,-0.280614548496538,47.876
BWA,,,,3.89096748010516,,31.3,-0.350584738699604,1514923,3.19304125498436,68.7
BRA,41.6743292385348,86613355,11.9253580991488,24.8660384966033,,13.691,-1.12426720314677,179379301,1.11698034638051,86.309
VGB,,,,197.18,,52.663,0.0321058210610972,14001,1.56202564101599,47.337
BRN,,,,80.5451612903226,,22.688,-0.30274776882331,328169,1.52450167860416,77.312
BGR,17.9034693165452,1266840,23.977110796381,65.1800571112749,,25.331,-2.06374133779488,5283539,-0.274061374886556,74.669
BFA,12.5869601054202,2415851,43.7913900382219,70.1508918128655,,71.257,2.03982673432816,5516726,5.03240243536194,28.743
BDI,,,61.5423477228022,421.61308411215,,87.294,2.81773764427555,1375682,5.71601242230086,12.706
CPV,,,,133.373945409429,,34.739,-0.174974427215057,350776,1.92213425836337,65.261
KHM,11.8218880466206,1892615,51.4442520895154,90.6946181735781,,77.02,1.01484381200863,3678963,3.27737495822157,22.98
CMR,27.3450366145629,6717594,25.2439115082443,51.9685325040723,,44.223,1.29451765853226,13702203,3.71560979858515,55.777
CAN,45.9436458990687,16789334,20.2161383789393,4.01861558408139,,18.65,0.926538359387049,29727992,1.2557632011297,81.35
CSS,,,,18.0683957021119,,48.9553783184939,0.344008708797475,3733908,0.900588313024357,51.0446216815061
CYM,,,,264.091666666667,,0,,63382,1.29099616781982,100
CAF,,,44.2230542641915,7.37748884394363,,59.02,0.666047112427797,1883452,2.1647560672224,40.98
CEB,,,16.890533482922,92.9716130286946,,37.7514299757853,-0.417245453904499,63953343,-0.145389768614848,62.2485700242147
TCD,8.49534051024145,1275726,37.1657207182799,11.9256456480305,,77.142,2.84317407493473,3432534,3.87252952807132,22.858
CHI,,,,851.843467166921,,69.086,1.06118726129289,52141,0.986805733471373,30.914
CHL,35.8819408677834,6627552,41.0126197826741,24.8414839222839,,12.51,0.883076747961141,16159787,1.50294061291484,87.49
CHN,27.2714063452335,378089414,3.09401212991961,147.674050750889,,42.04,-2.31081217721929,803554542,2.69354013822354,57.96
COL,43.5263722062828,21284860,26.1255510822962,44.0748679585399,,19.554,-0.210390946106126,39338952,1.92443092324909,80.446
COM,,,,437.341200057394,,71.216,2.04255730502545,234271,2.84935102424998,28.784
COD,23.8531852891525,19416198,35.3447070531655,35.9051472177499,,56.12,2.24265794628792,35717778,4.57294508820552,43.88
COG,63.1307401605494,3226424,62.8606447597409,14.9654524158126,,33.541,1.21439272060527,3396521,3.26215373226564,66.459
CRI,27.0151399386742,1337237,34.3879060371066,96.9438699569134,,21.44,-2.74808207588435,3888684,2.08338107981079,78.56
CIV,19.5928309924403,4787992,38.9318253649397,76.8473867924528,,49.674,1.65595271336413,12298401,3.43597733893111,50.326
HRV,,,29.3482762633661,73.7049857040743,,43.333,-1.80800195701092,2337248,-0.733638347773647,56.667
CUB,18.803750756553,2132206,24.427753249912,109.010373005191,,23.023,-0.167328569398147,8728621,0.0976805253062112,76.977
CUW,,,,360.754504504505,,10.797,0.958668702239061,142881,0.242453239827214,89.203
CYP,,,,127.670995670996,,33.164,0.943787236932213,788451,0.740638513954122,66.836
CZE,12.1210959939546,1284162,16.452115777536,137.198109298109,,26.325,-0.132433549977897,7805452,0.408265433696265,73.675
,,,,,,,,,,
DNK,22.618881591957,1303974,25.7744496976087,137.294117647059,,12.243,-0.291439392403564,5059173,0.7744611852936,87.757
DJI,,,75.2119846345243,40.7289473684211,,22.352,1.06476477284994,733072,1.75455892710525,77.648
DMA,,,,95.2773333333333,,29.819,-0.794656638127203,50150,0.642137054798967,70.181
DOM,29.4342855615515,3094465,36.6659020198288,217.618112192093,,19.723,-3.07202000423664,8439626,2.15677671279092,80.277
