CountryCode,NY.GDP.PCAP.KN,NY.GDP.MKTP.KN,SI.POV.GINI,NY.GNP.MKTP.KN,NY.GNP.PCAP.KN
IDN,37457329.300785,9.9129281E+15,38.1,9.60784304523067E+15,36304524.474001
IRN,88948076.9325405,7.1757928E+15,40.8,7.18664236988126E+15,89082563.5883541
IRQ,5400625.16409371,202808494050300,..,..,..
IRL,61300.6220009702,294695874600,..,235265572476.528,48938.3366760761
IMN,60507.0695471184,5058270000,..,..,..
ISR,143984.777409248,1254582561000,..,1241786942966.59,142516.261688062
ITA,28160.3101351281,1704732500000,35.9,1714098953546.01,28315.0336690092
JAM,299734.358422009,875480000000,..,850331618964.994,291124.41432862
JPN,4303902.29876853,545673683159500,..,565162428797877,4457616.24859193
JOR,2906.01260454233,28418400000,..,28273923152.4572,2891.23867145588
KAZ,753477.602643474,13591060217500,27.5,11743894957961.9,651072.225199043
KEN,89749.9979739742,4507377100000,..,4422003075213.74,88050.0473415771
KIR,1649.5909178507,188314000,..,370763306.244276,3247.80835547466
PRK,..,..,..,..,..
KOR,34282437.4272211,1.7608115E+15,..,1.76807361613809E+15,34423828.5086023
XKX,2943.48642421482,5271793016.22802,29,5394713254.33217,3012.11849133261
KWT,9560.81200187668,38779600000,..,43799225879.1969,10798.3621403711
KGZ,49296.4219181011,305549082332.774,27.3,289898012916.478,46771.3227899193
LAO,16744054.9342841,116422000000000,..,..,..
,,,,,
LTE,..,..,..,..,..
LCN,..,..,..,..,..
LAC,..,..,..,..,..
TLA,..,..,..,..,..
LVA,13283.9503503157,25800726000,35.6,25680066007.7838,13221.8264648921
LDC,..,..,..,..,..
LBN,9604115.29108074,65422013640200,..,65136919662486.2,9562262.78183493
LSO,11313.5723181867,23661340909.1234,44.9,27013604865.6741,12916.4434677022
LBR,301.698726646177,1418656200,..,1336201795.96637,284.16354884671
LBY,4511.03886137756,29685901700,..,..,..
LIE,..,..,..,..,..
LTU,14107.4452261577,39901540400,37.3,38394443022.9043,13574.6012936998
LMY,..,..,..,..,..
LIC,..,..,..,..,..
LMC,..,..,..,..,..
LUX,92948.1215288026,55428311000,34.9,35677974928.4336,59828.64514038
MAC,654252.832946505,407328000000,..,372540000000,598376.125348346
MDG,794187.140983335,20307794056000,..,19724863871431.7,771390.196352198
MWI,77146.3464600974,1363196000000,..,1322578563275.28,74847.7138013409
MYS,41790.5748228229,1299897000000,..,1263145018896.37,40609.0301187439
MDV,133860.02171627,66448382500,..,..,..
MLI,266989.981933185,4942623739600,..,4771338376157.92,257737.512293544
MLT,20932.3354836228,9796312074,29.2,8899749829.4431,19016.6000983829
MHL,3351.78786730511,194598100,..,254756490.031847,4387.96531110006
MRT,51464.7022795169,220401395900,..,217293470118.897,50738.9878421008
MUS,273031.616154507,345279331200,36.8,373729025994.896,295528.375870639
MEX,145568.532949144,18163652000000,..,17708188554982.2,141918.322875575
FSM,2247.91986290923,250550900,..,..,..
MEA,..,..,..,..,..
TMN,..,..,..,..,..
MNA,..,..,..,..,..
MIC,..,..,..,..,..
MDA,41086.1400111721,113198807340.901,25.9,120019798587.599,43561.8569198569
MCO,140439.424880183,5391750400,..,..,..
MNG,5424844.96911229,16891768343077.5,..,14364636138919.8,4613248.44792127
MNE,4557.9740633348,2836759991.71987,..,2904607919.96039,4666.98895993302
MAR,26320.6784519217,951069000000,..,932050997103.667,25794.3583436729
MOZ,22286.5519073663,638487581600,..,618395297354.072,21585.2262297982
MMR,1564368.53624593,83510030100000,30.7,81185560034435.7,1520824.93041008
NAM,60113.1085327039,144427934900,..,141629223414.145,58948.2421416045
NRU,6368.43740292016,82000000,..,..,..
NPL,30117.5153953774,832060332400,..,842639659252.027,30500.4480108761
NLD,42358.5393948012,725656676500,28.5,731130356241.85,42678.0528596231
NCL,..,..,..,..,..
NZL,56778.0928054402,272188499100,..,261578162961.062,54564.7933751355
NIC,29152.4239783049,186134000000,..,180728960116.769,28305.8832372496
NER,293578.623779723,6342024000000,..,6238833022392.53,288801.810385058
NGA,362573.954171099,69205691115000,..,67550416773171.7,353901.844208967
NAC,..,..,..,..,..
MKD,211341.904595398,440013000000,34.2,421479037688.692,202439.888303672
MNP,23443.3011562533,1326000000,..,..,..
NOR,609736.689705149,3217561000000,27,3349139386720.16,634671.157134202
INX,..,..,..,..,..
OED,..,..,..,..,..
OMN,6177.79716176929,28825200000,..,27857511226.4099,5970.40276523568
OSS,..,..,..,..,..
PSS,..,..,..,..,..
PAK,59687.2192565879,12408775080000,..,13080333847189.2,62917.4716483418
PLW,15311.5341419587,272667800,..,286908812.543979,16111.2316118586
PAN,9816.90968403157,40315800000,49.9,37707180854.3768,9181.71012076808
PNG,7575.98463920222,63926378089.1429,..,..,..
PRY,29536505.7027591,202829015924200,48.8,196581560411430,28626734.4624863
PER,16353.2038894048,514215000000,43.3,490064714759.973,15585.1700154077
PHL,163311.2583258,17175978086071.6,..,19090176793366.1,181511.689067348
POL,47778.1781014612,1814368000000,29.7,1739808562349.34,45814.7869419951
PRT,18423.8378299661,189771056800,33.8,185302336391.778,17989.994115878
PST,..,..,..,..,..
PRE,..,..,..,..,..
PRI,2977.18752612557,9900000000,..,4736247954.11397,1424.31296258847
QAT,296858.691008704,808858000000,..,807352515006.958,296306.163489204
ROU,21883.3028969296,428634600000,36,421737198127.576,21531.1662883215
RUS,593692.755356939,87179270246611.3,37.2,84794704366776.2,577453.809062427
RWA,642206.364994658,7694234000000,..,7437582970325.91,620784.749166606
WSM,10325.9695319219,2017198800,..,..,..
SMR,35460.7822755487,1194000000,..,..,..
STP,19689.2693479615,4077431100,56.3,..,..
SAU,77602.2796418288,2568569261400,..,2602685783955.16,78633.016855545
SEN,770292.156189668,11877428237600,..,11531914592646.7,747884.405518397
SRB,509926.721207009,3580123100000,36.2,3343490955279.67,476222.557881056
SYC,91872.4398708436,8805330254.54126,..,8075750164.91899,84260.1980835219
SLE,1252067.75624961,9376023000000,..,9083509892856.97,1213005.75419029
SGP,81275.2204863181,456137100000,..,420357185684.797,74899.8995028907
SXM,39830.9262089023,1616100000,..,1568779262.09292,38664.6439121831
SVK,15431.0409999059,83933012000,..,82208268649.3329,15113.9478237613
SVN,20326.3001430515,42002022700,24.2,41240536809.5347,19957.7895388159
SST,..,..,..,..,..
SLB,7963.94948100585,5065374500,..,..,..
SOM,..,..,..,..,..
ZAF,54736.1107721762,3119983000000,..,3024274186374.47,53057.022064167
SAS,..,..,..,..,..
TSA,..,..,..,..,..
SSD,..,..,..,..,..
ESP,24517.7433050583,1142361000000,34.7,1142096917334.94,24512.0754723914
