CountryName,CountryCode,EN.POP.DNST,EN.POP.SLUM.UR.ZS,EN.URB.LCTY.UR.ZS,EN.URB.MCTY,EN.URB.MCTY.TL.ZS,GB.XPD.RSDV.GD.ZS,IP.JRN.ARTC.SC,NY.GDP.MKTP.KN,NY.GDP.PCAP.KN,NY.GNP.MKTP.KN,NY.GNP.PCAP.KN,SH.MED.BEDS.ZS,SH.MED.CMHW.P3,SH.MED.NUMW.P3,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SI.DST.10TH.10,SI.DST.50MD,SI.POV.GINI,SL.UEM.TOTL.NE.ZS,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00641827926153038,51.884,1.5835146550148,14449,48.116
Brunei Darussalam,BRN,..,..,..,..,..,..,..,19098517088.5668,44078.4174124809,19606761158.1451,45251.4191770892,..,..,..,..,..,..,..,..,6.92309999465942,-0.406188396852031,22.058,1.40510131779945,337711,77.942
Bulgaria,BGR,..,..,24.2947191861838,1276937,18.3053433166647,..,..,102286441000,14663.1229194922,..,..,..,..,..,..,..,..,..,..,4.22989988327026,-2.06963013685506,24.653,-0.252969936337171,5256027,75.347
Burkina Faso,BFA,..,..,43.5418259853465,2652720,13.0538391638599,..,..,8883249066000,437138.124491361,8647766054792.12,425550.179460867,..,..,..,..,..,..,..,..,..,1.95983067504172,70.02,4.94075550766313,6092349,29.98
Burundi,BDI,..,..,61.9282535360961,..,..,..,..,1780241408900,154393.049517023,1785169751844.6,154820.464525167,..,..,..,..,..,..,..,..,..,2.7441789919999,86.634,5.65959386642583,1541177,13.366
Cabo Verde,CPV,..,..,..,..,..,..,..,168264857000,305972.263994836,164629327475.136,299361.42903277,..,..,..,..,..,..,..,..,11.289999961853,-0.232105927264574,33.805,1.82967937813072,364029,66.195
Cambodia,KHM,..,..,51.3174393145223,2014015,12.216115423113,..,..,56578089165018.6,3431774.18072381,54299858111646.8,3293586.86082544,..,..,..,..,..,..,..,..,..,0.900610040354835,76.195,3.21363596690851,3924621,23.805
Cameroon,CMR,..,..,25.9301174879535,7358544,28.4373007352651,..,..,16917256000000,653772.127322292,16579728979660.4,640728.300467854,..,..,..,..,..,..,..,..,..,1.21331667942851,43.032,3.63241391002886,14741256,56.968
Canada,CAN,..,..,20.0447544217177,17211244,45.7876613805294,..,..,2150922843400,57221.7364469672,2128632077738.84,56628.7275802019,..,..,..,..,..,..,..,..,5.66260004043579,1.04137943539227,18.518,1.51122380323366,30628482,81.482
Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.224630996181531,48.6299609466125,0.911660087129107,3802091,51.3700390533875
Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,1.19888054809678,64948,100
Central African Republic,CAF,..,..,43.8734067113877,..,..,..,..,762655524800,160721.979185216,..,..,..,..,..,..,..,..,..,..,..,0.979914731078192,58.23,2.65151015111068,1982064,41.77
Central Europe and the Baltics,CEB,..,..,16.9775683526788,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.77751285103249,-0.431732643146603,37.5616437014329,0.0129796966784426,63923503,62.4383562985671
Chad,TCD,..,..,36.9456664420963,1371524,8.60058107932864,..,..,5405530857900,338971.147571474,5332150965354.12,334369.626085643,..,..,..,..,..,..,..,..,..,2.69960000408195,76.721,3.93547101211201,3712273,23.279
Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.00267344509658,69.069,1.08125481417656,53281,30.931
Chile,CHL,..,..,40.4783946668706,6723516,35.4764801547992,..,..,155189982580250,8188564.34227549,148905365631857,7856957.94995015,..,..,..,..,..,..,..,..,7.29029989242554,0.545701785003905,12.357,1.27315944447651,16610135,87.643
China,CHN,..,..,3.12208372024284,398976116,28.5448833274308,..,..,89163975472394.3,63792.6726638795,..,..,..,..,..,..,..,..,..,..,5.15000009536743,-2.5135292752365,39.692,2.29272726307481,842933962,60.308
Colombia,COL,..,..,26.4023716286714,22114342,43.9304463499924,..,..,881958408363332,17520225.8070939,853428874303118,16953482.6657323,..,..,..,..,..,..,..,..,9.96140003204346,-0.328816832244915,18.896,1.7844648552516,40827302,81.104
Comoros,COM,..,..,..,..,..,..,..,420279000000,493931.031889113,..,..,..,..,..,..,..,..,..,..,..,1.92539453630097,70.836,2.8904337060558,248152,29.164
"Congo, Dem. Rep.",COD,..,..,35.1529333970642,21141723,24.3594710010363,..,..,12660599711400,145875.296694398,12210146550835.5,140685.180116815,..,..,..,..,..,..,..,..,..,2.12638432891885,54.954,4.49651561246781,39095679,45.046
"Congo, Rep.",COG,..,..,63.6708864251409,3483589,64.7446114753477,..,..,1616420907100,300421.615784234,1377678239929.57,256049.845094472,..,..,..,..,..,..,..,..,..,1.17192276872432,32.627,3.24353303191283,3625010,67.373
Costa Rica,CRI,..,..,34.1065121842903,1378546,27.3111310591393,..,..,29093425696100,5763858.16755855,27327212200161.1,5413943.92265118,..,..,..,..,..,..,..,..,11.4905996322632,-2.66959054977993,19.924,1.88129554144115,4041885,80.076
Cote d'Ivoire,CIV,..,..,38.3895301626331,5058550,19.6704113896486,..,..,35565395593200,1382977.26137696,..,..,..,..,..,..,..,..,..,..,..,1.61038288280312,48.761,3.45114252538016,13176900,51.239
Croatia,HRV,..,..,29.4303870863001,..,..,..,..,383267000000,94226.6748617087,377323596226.023,92765.4815552606,..,..,..,..,..,..,..,..,6.61660003662109,-1.18642616132771,42.758,0.0177826573170661,2328318,57.242
Cuba,CUB,..,..,24.4694583617257,2138419,18.8681537705576,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.355103611461465,22.891,0.0523529779214704,8739135,77.109
Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.990709415385093,10.902,-1.47872164804435,140363,89.098
Cyprus,CYP,..,..,..,..,..,..,..,21345660000,24207.7687013265,20618030017.1409,23382.5752744096,..,..,..,..,..,..,..,..,7.07359981536865,0.794872615476084,33.195,0.772293677891933,800708,66.805
Czech Republic,CZE,..,..,16.4673299222178,1298804,12.1728155847549,..,..,5182840472600,485752.74851451,..,..,..,..,..,..,..,..,..,..,2.01430010795593,-0.11992577461695,26.079,0.548211578531677,7887156,73.921
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,..,..,26.0526119448169,1333888,22.924737473389,..,..,2248532653400,386441.89601779,..,..,..,..,..,..,..,..,..,..,5.0177001953125,-0.565409957152044,12.006,0.565622493351353,5119978,87.994
Djibouti,DJI,..,..,74.9857952485601,..,..,..,..,548245677200,563134.965692921,570161553918.735,585646.03508642,..,..,..,..,..,..,..,..,..,0.892295788346156,22.085,1.69244544694325,758549,77.915
Dominica,DMA,..,..,..,..,..,..,..,1225350000,17064.2546791444,..,..,..,..,..,..,..,..,..,..,..,-0.778731380705909,29.214,0.685008551469418,50830,70.786
Dominican Republic,DOM,..,..,36.9277978031232,3245021,30.2172799260412,..,..,2627484000000,244668.430587027,2508518777041.11,233590.519400589,..,..,..,..,..,..,..,..,6.35599994659424,-3.01901912504798,18.172,1.9721792780055,8787475,81.828
