CountryCode,SH.MED.CMHW.P3,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SH.MED.BEDS.ZS,SH.MED.NUMW.P3
KEN,..,4.80254329741001,76.6103210449219,..,1.0587
KIR,..,10.7575967907906,171.41748046875,..,..
PRK,..,..,..,..,4.4489
KOR,..,7.60386362671852,2283.07470703125,..,7.1203
XKX,..,..,..,..,..
KWT,..,5.2913848310709,1529.07763671875,..,7.3489
KGZ,..,6.1858631670475,78.8228378295898,..,..
LAO,..,2.52808686345816,62.1246337890625,..,1.2643
,,,,,
LTE,..,5.69194282222498,506.216645875853,..,..
LCN,..,8.01741217846399,685.31702184882,..,..
LAC,..,7.97008383649723,653.926397143921,..,..
TLA,..,7.95623907011897,678.874847632542,..,..
LVA,..,5.95566183328629,930.352355957031,..,4.7517
LDC,..,4.1130700825618,47.1952864953533,..,..
LBN,..,8.19554403424263,719.443481445313,..,1.6418
LSO,..,8.76315832138062,104.552795410156,..,..
LBR,..,8.15533772110939,56.5990295410156,..,..
LBY,..,..,..,..,6.5305
LIE,..,..,..,..,..
LTU,..,6.45756423473358,1078.17919921875,..,7.9795
LMY,..,5.38844390062121,249.513676366239,..,..
LIC,..,5.69627117436139,44.8095965381493,..,..
LMC,..,4.04510521790447,80.5009177413571,..,..
LUX,..,5.4810743778944,5782.62841796875,..,12.1744
MAC,..,..,..,..,..
MDG,..,5.50203807651997,24.6708374023438,..,..
MWI,..,9.64823141694069,32.2593841552734,..,..
MYS,..,3.85939814150333,384.066070556641,..,3.4676
MDV,..,9.02997627854347,1006.93878173828,..,6.4927
MLI,..,3.79398502409458,31.3781051635742,..,..
MLT,..,9.34099927544594,2585.56396484375,..,..
MHL,..,16.4029404520988,642.199157714844,..,..
MRT,..,4.40315157175064,48.8171310424805,..,1.0673
MUS,..,5.71872070431709,599.699768066406,..,3.5152
MEX,..,5.51654137670994,494.677642822266,..,2.5076
FSM,..,12.3515494167805,424.809783935547,..,..
MEA,..,5.68518577412915,458.960856789522,..,..
TMN,..,6.68457105669411,262.153071659075,..,..
MNA,..,6.68457105669411,262.153071659075,..,..
MIC,..,5.38464741030081,269.496705965721,..,..
MDA,..,7.0129506289959,191.185775756836,..,4.9235
MCO,..,1.77270229905844,2932.421875,..,..
MNG,..,4.00230102241039,148.784454345703,..,3.8313
MNE,..,..,..,..,..
MAR,..,5.24520017206669,161.010864257813,..,1.3887
MOZ,..,4.94119822978973,21.0711555480957,..,0.6842
MMR,..,4.65907230973244,58.0439567565918,..,1.0054
NAM,..,8.55095684528351,447.280639648438,..,2.0199
NRU,..,11.0175155103207,1106.7509765625,..,..
NPL,..,5.55329509079456,47.9153633117676,..,2.8479
NLD,..,10.1008348166943,4911.4404296875,..,11.1839
NCL,..,..,..,..,..
NZL,..,9.1700553894043,3937.22192382813,..,12.3207
NIC,..,8.64546522498131,192.083389282227,..,1.5524
NER,..,7.73996263742447,29.2616500854492,..,..
NGA,..,3.75553853809834,73.9249801635742,..,..
NAC,..,16.5547589598848,9691.08933947145,..,..
MKD,..,6.06211498379707,328.419799804688,..,..
MNP,..,..,..,..,..
NOR,..,10.4463420808315,7936.375,..,18.1559
INX,..,..,..,..,..
OED,..,12.508275229507,4675.68324696195,..,..
