CountryCode,SIDST10TH10,SIDST50MD,SLUEMTOTLNEZS
UMC,..,..,6.1810039726712
URY,..,..,9.35070037841797
UZB,..,..,..
VUT,..,..,..
VEN,..,..,..
VNM,..,..,2.03979992866516
VIR,..,..,..
PSE,..,..,25.3404006958008
WLD,..,..,..
YEM,..,..,..
ZMB,..,..,..
ZWE,..,..,16.8565998077393
