CountryCode,NYGDPPCAPKN,NYGDPMKTPKN,SIPOVGINI,NYGNPMKTPKN,NYGNPPCAPKN
IBT,..,..,..,..,..
IDB,..,..,..,..,..
IDX,..,..,..,..,..
IDA,..,..,..,..,..
ISL,7526353.34329399,2654702877600,..,..,..
IND,103365.714687722,139814256807717,..,138322634631769,102262.947374994
IDN,38949650.7059322,1.04253973E+16,37.8,1.01325797632871E+16,37855674.0979098
IRN,..,..,..,..,..
IRQ,5247112.78672828,201665434000000,..,..,..
IRL,65492.387837568,318772147200,..,252478535825.715,51872.2301625198
IMN,..,..,..,..,..
ISR,146115.201344171,1297912110500,..,1298588990110.96,146191.402498194
ITA,28439.0640060799,1718338300000,..,1737055299939.85,28748.8365108836
JAM,304094.069383326,892472000000,..,852710249748.678,290545.955336355
JPN,4326572.62672776,547437340544500,..,567327691625206,4483772.44147952
JOR,2909.77983049637,28969800000,..,28830250555.1348,2895.7632283788
KAZ,774124.960883508,14148293686400,..,11906790640007.6,651480.951890627
KEN,93245.6281505987,4792173500000,..,4714362868235.33,91731.5967333949
KIR,1663.14190268199,192670000,..,371181702.043298,3204.06831461581
PRK,..,..,..,..,..
KOR,35029138.599296,1.8077359E+15,..,1.81246878669094E+15,35120849.4204794
XKX,3045.45670507923,5472944562.84731,..,5578205624.15948,3104.02992855623
KWT,9489.95386376469,39262900000,..,44735040111.9237,10812.5855898525
KGZ,50140.9727037082,317031342211.006,27.7,306579021509.038,48487.8568844559
LAO,17516940.7889846,123696000000000,..,..,..
,,,,,
LTE,..,..,..,..,..
LCN,..,..,..,..,..
LAC,..,..,..,..,..
TLA,..,..,..,..,..
LVA,13961.501141049,26906242000,..,26425538517.4413,13712.0667451103
LDC,..,..,..,..,..
LBN,9368144.75969587,64161720848300,..,63754377321100.5,9308669.21759261
LSO,11173.0349149701,23554232441.3657,..,26958024387.5121,12787.6358726646
LBR,297.988556492384,1436000000,..,1313119326.03154,272.489228737041
LBY,5117.59630471627,34178209800,..,..,..
LIE,..,..,..,..,..
LTU,14761.813186519,41355854400,..,40019189088.0921,14284.6956438263
LMY,..,..,..,..,..
LIC,..,..,..,..,..
LMC,..,..,..,..,..
LUX,94008.7095978288,57152595000,..,36237654128.7822,59606.3066515046
MAC,679975.49221387,429497000000,..,391948937953.551,620529.76390445
MDG,808563.825543074,21234800737900,..,20626822734883.1,785413.666234634
MWI,77516.6697556544,1406409357127.81,..,1365687516331.31,75272.2154871536
MYS,43184.0820005084,1361533000000,..,1312982592322.77,41644.1966019969
MDV,137728.216042009,71025890100,..,..,..
MLI,271127.413124964,5172484738100,..,5028743673920.4,263592.902176333
MLT,21692.4999814291,10512836266,..,9606382970.45294,19822.0972091141
MHL,3452.17331758341,201651800,..,261201118.021884,4471.6264876292
MRT,51112.2349527709,225063475300,..,223881541653.157,50843.8161425863
MUS,283142.892413912,358261551200,..,387778079608.732,306470.528884174
MEX,147012.474476346,18551620000000,45.4,18072228414331.9,143213.531675005
FSM,2229.05894886364,251081200,..,..,..
MEA,..,..,..,..,..
TMN,..,..,..,..,..
MNA,..,..,..,..,..
MIC,..,..,..,..,..
MDA,43631.1497141951,118068029052.948,25.7,124074618491.892,45850.8395420378
MCO,147889.126725609,5720647200,..,..,..
MNG,5714404.93302433,18115852233913.2,32.7,16195890579063.7,5108778.53410997
MNE,4790.54664900969,2980807469.77335,..,3021621610.07534,4856.14029940092
MAR,26765.0439085225,979508000000,..,958481427564.54,26190.4930784315
MOZ,22388.693228585,660376044700,..,646509574303.305,21918.5790347609
MMR,1659839.98218528,89147341400000,..,86054308832386,1602250.61337964
NAM,59404.1806102714,145436582200,..,140690273192.103,57465.5308340441
NRU,6848.23677581864,87000000,..,..,..
NPL,31608.5422598914,887816657493.879,..,895104785423.503,31868.0182425896
NLD,43205.7519418947,744505272100,..,751878778247.516,43633.6574107882
NCL,..,..,..,..,..
NZL,58341.0304482545,282428928400,..,272389020891.261,56267.0978911921
NIC,27651.3248059357,178780000000,..,174230832165.581,26947.719719314
NER,302378.056572604,6786255000000,..,6684290815420.59,297834.794939621
NGA,360109.469049965,70536348621700,35.1,67905838781719.5,346679.917899161
NAC,..,..,..,..,..
MKD,216990.453000012,451982000000,..,431999083347.011,207396.924636508
MNP,18740.5506135509,1066000000,..,..,..
NOR,613536.245678584,3259053000000,..,3394294655208.5,638996.297232203
INX,..,..,..,..,..
OED,..,..,..,..,..
OMN,6073.83854545093,29333500000,..,27497302414.1105,5693.63271681678
OSS,..,..,..,..,..
PSS,..,..,..,..,..
PAK,61885.3575074301,13133003000000,..,13824507746887.8,65143.8672693813
PLW,15486.5806667784,277318200,..,292477765.973762,16333.1527321026
PAN,10008.5159400346,41804300000,49.2,..,..
PNG,7371.80209787238,63444058343.7526,..,..,..
PRY,30135943.0342646,209627759398300,46.2,202641498557259,29131602.9634055
PER,16713.8929395545,534665000000,42.8,507920348883.504,15877.8418880234
PHL,171259.832130936,18265190258161.7,..,20212348916169.1,189516.968256503
POL,50333.9455822619,1911419000000,..,1831623467400.5,48232.666901046
PRT,18940.0191387988,194775785500,..,189966770146.836,18472.3899486821
PST,..,..,..,..,..
PRE,..,..,..,..,..
PRI,2955.73243680469,9438700000,..,4476585574.40103,1401.84444768761
QAT,295123.049872433,820937000000,..,..,..
ROU,22988.905661792,447652500000,..,438281008266.376,22507.6387429777
RUS,608799.800432915,89390425366249.9,37.5,86967348110823.7,592297.261783021
RWA,679047.668826841,8353603000000,..,8083075577462.76,657057.036086975
WSM,10062.0200887167,1973464000,..,..,..
SMR,35755.5128015391,1208000000,..,..,..
STP,19835.2673578862,4185796800,..,..,..
SAU,78074.0421550218,2631091082700,..,2652675534014.73,78714.5313318957
SEN,796951.469040693,12635155492700,..,12298934666338,775744.632160365
SRB,535240.248480366,3737370700000,..,3545250141300.09,507726.077735482
SYC,94415.5972230931,9135842018.50093,..,..,..
SLE,1267835.39259471,9699136000000,35.7,..,..
SGP,83675.6004423734,471819600000,..,424085557672.942,75210.1304761867
SXM,..,..,..,..,..
SVK,16010.15849574,87203667000,..,..,..
SVN,21086.7852937518,43731757500,..,43041447797.3801,20753.928502315
SST,..,..,..,..,..
SLB,8057.84734199474,5260630100,..,..,..
SOM,..,..,..,..,..
ZAF,54422.9763219981,3144539000000,..,3043075756284.58,52666.9377706309
SAS,..,..,..,..,..
TSA,..,..,..,..,..
SSD,..,..,..,..,..
ESP,24984.4896402507,1169218000000,..,1171826591838.03,25040.2314572196
LKA,446174.422556311,9668599736795.27,..,9392235419856.78,433421.108438245
KNA,39482.4660094201,2070500000,..,..,..
LCA,30666.3531054654,5577872300,..,..,..
MAF,..,..,..,..,..
VCT,16481.6259867526,1816440000,..,..,..
SSF,..,..,..,..,..
TSS,..,..,..,..,..
SSA,..,..,..,..,..
SDN,777.292067255045,32492000000,..,30386876200.6119,726.932100806253
SUR,16871.7913995184,9718000000,..,..,..
SWE,446903.229750254,4547336000000,..,4625790817001.2,454613.614711317
CHE,81760.9690793015,696139790100,..,..,..
SYR,..,..,..,..,..
TJK,742.320415144233,6755737100,..,..,..
TZA,2076815.49997266,113532897033400,..,..,..
THA,153737.158520034,10673744000000,36.4,10146824170655.1,146147.773077462
TLS,1244.61711822881,1578139656.63482,..,2254911770.86384,1778.36085565284
TGO,293084.731909646,2312173000000,..,2321161866717.96,294224.136094456
TON,8274.82484955958,853937100,..,..,..
TTO,112249.380872003,156010700000,..,..,..
TUN,6310.13512602112,72978000000,..,..,..
TUR,21161.6711324251,1742022927000,41.9,1715828915286.4,20843.4726443738
TKM,9906.95606562263,57964688500,..,..,..
TCA,24956.1007916682,939971536.318184,..,..,..
TUV,3562.73896419882,41000000,..,..,..
UGA,2696370.53421098,115197413128600,..,111921216037943,2619686.16205712
UKR,59792.6387258686,2527423000000,26.1,2595084081162.36,61393.3342096649
ARE,151774.813195385,1461737003117.41,..,1466546381648.7,152274.179720701
GBR,30353.7199656986,2017318670600,..,1990170108209.63,29945.2273104339
USA,59594.5447289071,19468792890719.4,..,19723874504174.9,60375.3570118218
UMC,..,..,..,..,..
URY,206008.560637973,710585122200,39.7,659140949575.983,191094.175824126
UZB,3764824.27333923,124073925234595,..,..,..
VUT,233370.917042504,68303000000,..,..,..
VEN,..,..,..,..,..
VNM,36564627.9775167,3.493399E+15,35.7,3.22995698155611E+15,33807239.1427324
VIR,..,..,..,..,..
PSE,3022.55133246533,13810300000,..,16028116041.4957,3507.9472204175
WLD,..,..,..,..,..
YEM,7985.77141466202,227584000000,..,..,..
ZMB,8050.34510496938,139688155300,..,..,..
ZWE,1393.0698057167,20114560000,..,18733610172.538,1297.42965709566
