CountryCode,NYGDPPCAPKN,NYGDPMKTPKN,SIPOVGINI,NYGNPMKTPKN,NYGNPPCAPKN
AFG,13868.626159752,515529924900,..,..,..
ALB,527463.912619977,1511909900000,..,..,..
DZA,145010.497075142,6123565479992.34,..,..,..
ASM,10961.8678445867,608000000,..,..,..
AND,34044.3601797263,2621620000,..,..,..
AGO,50465.5620611415,1554831956300,51.3,1432976698527.92,46510.4760798842
ATG,36521.0934092184,3516470000,..,..,..
ARB,..,..,..,..,..
ARG,15897.0122263645,707329642300,41.4,680370555954.473,15291.1152023788
ARM,1808906.1349738,5339485715468.42,34.4,5405739004422.34,1831351.36420323
ABW,..,..,..,..,..
AUS,74046.4757034952,1849880000000,..,1792113000000,71734.1944950039
AUT,41723.4221829234,368856790000,..,367852713972.163,41609.8456156784
AZE,2936.05355696826,29183700000,..,..,..
BHS,27910.3308785396,10763340000,..,10133259106.4537,26276.4731523019
BHR,8075.77102391364,12674430000,..,12012479192.1871,7653.99559472342
BGD,63365.301127651,10224374000000,..,10673251674776.5,66147.2092456146
BRB,32273.819865267,9251000000,..,..,..
BLR,8423.82120776308,79887300000,25.2,76975106561.9572,8116.74114817297
BEL,38270.8089066526,437322600000,..,440108226385.091,38514.5835825307
BLZ,7345.11356902506,2813700000,..,2561800015.38902,6687.5331606648
BEN,683033.888931069,7844677000000,..,7765042573011.79,676100.141071399
BMU,..,..,..,..,..
BTN,90159.5088243013,68015792500,..,61967450565.4789,82142.0246787208
BOL,4244.52807865875,48188730000,42.2,47026845848.9161,4142.18776167127
BIH,9396.15193344984,31232141900,..,31138415712.3107,9367.9545237912
BWA,42825.0239782514,96533000000,..,88928349162.7887,39451.3657012912
BRA,19491.4252603268,4082855848500,53.9,3966830465980.77,18937.5237375715
VGB,..,..,..,..,..
BRN,42864.1697866011,18387100000,..,18503840780.9881,43136.3169254809
BGR,14085.3663831237,98950220000,..,99896172178.5163,14220.0207882914
BFA,425542.406572451,8405115737400,..,8155020266182.42,412880.328854564
BDI,156418.358725763,1748034284900,..,1752035376443.23,156776.386127004
CPV,292845.195276653,159239553300,..,155452336027.015,285880.415742432
KHM,3252347.75654541,52849994069616.1,..,48850275398650.2,3006208.16324303
CMR,644977.281899754,16263900000000,..,15910903704083.4,630978.512142133
CAN,57096.8852870647,2115882957200,..,2088357023214.52,56354.1007725242
CSS,..,..,..,..,..
CYM,67073.8928538037,4304400000,..,..,..
CAF,158721.852092105,740656000000,..,..,..
CEB,..,..,..,..,..
TCD,338261.280556846,5235523873400,..,5167821579558.78,333887.111865205
CHI,..,..,..,..,..
CHL,8199549.15811708,153570668110240,..,146905052420370,7843654.08915134
CHN,60335.3824312973,84030897173540.7,..,83721625567237.7,60113.3210078319
COL,17192801.7831691,853600000000000,50.4,831581672425944,16749319.1899432
COM,491599.405037954,409169000000,..,411728612008.823,494674.671592032
COD,144273.629284624,12128808595600,..,11757745441447.7,139859.788673537
COG,311019.81582892,1631100814400,..,1382312032030.82,263580.540101976
CRI,5700544.38036172,28499535297500,48,26898417564592.4,5380285.0287847
CIV,1327708.24074406,33284621932400,..,32191114739790.6,1284088.74240969
HRV,91083.4882846528,372335000000,..,366791990319.761,89727.514075213
CUB,5029.48544108389,57025000000,..,..,..
CUW,23875.7459324155,3815344200,..,..,..
CYP,23765.6711889186,20677750000,..,19946153451.6182,22924.8213376635
CZE,475372.868470981,5053179365000,..,4778184720286.48,449503.018297629
,,,,,
DNK,379134.15535598,2196565291300,..,2253122298349.67,388896.074649783
DJI,531991.022713052,510136831500,..,527222746799.596,549808.896257869
DMA,16190.8551483421,1159670000,..,..,..
DOM,235273.457568411,2500289853700,43.7,2388674161605.45,224770.591367072
EAR,..,..,..,..,..
EAS,..,..,..,..,..
TEA,..,..,..,..,..
EAP,..,..,..,..,..
ECU,4206.80257383992,71870517000,45.4,69969803577.6538,4095.54796692985
EGY,37129.3082720663,3654400000000,..,3562099571910.12,36191.5206603673
SLV,3869.82879242655,24847180000,38.6,23444452847.5577,3651.36078428881
GNQ,4106672.53955359,5375527580789.62,..,4229952258656.03,3231502.12201009
ERI,..,..,..,..,..
EST,17874.1190656116,23629174300,..,23181590492.1261,17535.5475111338
SWZ,36817.5061235303,41831719100,..,38000374289.9192,33445.4104018772
ETH,16801.8959728645,1835179678000,..,1826555607136.55,16722.9387223852
EMU,..,..,..,..,..
ECS,..,..,..,..,..
TEC,..,..,..,..,..
ECA,..,..,..,..,..
EUU,..,..,..,..,..
FRO,..,..,..,..,..
FJI,12150.3671264756,10734642800,..,..,..
FIN,41246.2791302732,227494883700,..,228292249312.456,41390.8466215739
FCS,..,..,..,..,..
FRA,34557.9093912736,2314201919200,..,2365899052438.31,35329.9011658097
PYF,..,..,..,..,..
GAB,2609816.66489719,5530919212500,..,..,..
GMB,25340.0137362276,57777816000,..,56743996441.1765,24886.604389267
GEO,10303.2054589917,38395400000,36.4,36853271110.7583,9889.38320970913
DEU,38869.1762174079,3222479450000,..,3312426949988.84,39954.1126092851
GHA,5191.894110103,154547672700,..,..,..
GIB,..,..,..,..,..
GRC,17055.6698843796,183056492300,..,182089868261.699,16965.6079570892
GRL,277334.309123039,15537100000,..,..,..
GRD,22141.5112961401,2467760000,..,..,..
GUM,31387.2399980696,5203000000,..,..,..
GTM,30235.2073016679,494253422000,..,483805970276.965,29596.1002068866
GIN,5137808.53688459,63782389000000,..,59880034870352.3,4823465.52346672
GNB,267373.247847607,501140084800,..,500331881381.82,266942.047112733
GUY,603446.837243454,470087500000,..,458093062942.089,588049.692866903
HTI,1463.34112667102,16277000900,..,16403944669.9818,1474.75367376924
HPC,..,..,..,..,..
HIC,..,..,..,..,..
HND,22395.3488711682,214715900000,52.1,198956439228.655,20751.601845467
HKG,367129.781237418,2735484000000,..,2865926990193.9,384636.557535083
HUN,3987133.95579017,38976483161400,..,37435880745355.1,3829536.66359865
IBD,..,..,..,..,..
