CountryName,CountryCode,EN.POP.DNST,EN.POP.SLUM.UR.ZS,EN.URB.LCTY.UR.ZS,EN.URB.MCTY,EN.URB.MCTY.TL.ZS,GB.XPD.RSDV.GD.ZS,IP.JRN.ARTC.SC,NY.GDP.MKTP.KN,NY.GDP.PCAP.KN,NY.GNP.MKTP.KN,NY.GNP.PCAP.KN,SH.MED.BEDS.ZS,SH.MED.CMHW.P3,SH.MED.NUMW.P3,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SI.DST.10TH.10,SI.DST.50MD,SI.POV.GINI,SL.UEM.TOTL.NE.ZS,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
Afghanistan,AFG,55.5959930153479,..,42.6990168187315,3913297,10.7815017467297,..,91.89,506215118500,13946.7032129908,..,..,..,..,0.1755,11.7771938443184,67.1226501464844,..,..,..,11.1836004257202,2.24112815187675,74.75,3.46340748347353,9164841,25.25
Albania,ALB,104.870693430657,..,27.3479864857341,..,..,..,149.54,1452763520000,505580.393233655,..,..,..,..,..,..,..,24.8,12,33.2,13.6157999038696,-2.43282532196503,40.617,1.54128496391169,1706345,59.383
Algeria,DZA,17.3777146120063,..,8.91756334178298,2659373,6.4252827513111,0.54243,5201.61,6039019210989.09,145908.099282066,5909479636166.07,142778.307426157,..,..,2.2228,6.37432187795639,258.494293212891,..,..,..,13.5699996948242,-0.0546470557579523,27.948,2.87137414065366,29821745,72.052
American Samoa,ASM,278.1,..,..,..,..,..,..,595000000,10697.5907946782,..,..,..,..,..,..,..,..,..,..,..,0,12.83,-0.249255966476673,48484,87.17
Andorra,AND,163.831914893617,..,..,..,..,..,2.01,2580620000,33514.110206361,..,..,..,..,..,10.3205524384975,4040.78662109375,..,..,..,..,0.450327522524326,11.85,-0.495265140972382,67876,88.15
Angola,AGO,23.9165380604797,..,38.8733836410621,7515345,25.2051129117099,..,55.5,1586621128400,53212.4136542322,1496030618591.09,50174.171193689,..,..,..,2.79150027781725,114.45964050293,..,..,..,..,1.37868797147526,35.161,4.39195727887042,19332881,64.839
Antigua and Barbuda,ATG,216.877272727273,..,..,..,..,..,5.2,3274510000,34314.6521912267,..,..,..,..,4.4969,4.53353188931942,673.859680175781,..,..,..,..,1.12260074261036,75.287,0.412161453683976,23583,24.713
Arab World,ARB,36.6698042509624,..,28.8990225921293,..,23.3304544360547,..,50420.03,..,..,..,..,..,..,..,4.85796910085996,345.789410458349,..,..,..,..,1.22406056731232,41.3585163064466,2.46660014512928,241543664,58.6414836935534
Argentina,ARG,16.0941907925267,..,36.8197273819288,18995646,43.1279998000218,0.54152,8704.3,725330848500,16468.0204553494,705589720308.06,16019.8149177677,..,..,2.5996,9.12431478500366,1324.603515625,29.7,19.4,41.2,8.34739971160889,-0.43067305139086,8.251,1.17019595911431,40410674,91.749
Armenia,ARM,103.435511064278,..,57.9734407885213,1077299,36.5829838200033,0.22788,511.24,5075556763753.25,1723560.5989228,5245819570251.23,1781378.54450025,..,..,6.107,10.3627048432827,407.635864257813,28.4,6.9,33.6,17.7045001983643,0.237732038809755,36.897,0.3278856702453,1858263,63.103
Aruba,ABW,585.366666666667,..,..,..,..,..,..,3644578900,34589.7054078166,..,..,..,..,..,..,..,..,..,..,..,0.291638240327567,56.707,0.703980380077249,45616,43.293
Australia,AUS,3.19836141871706,..,22.277628513169,14924257,60.6631246580543,1.87372,53428.79,1797041000000,73044.9242455652,1748333008274.83,71065.0742779134,..,..,12.5508,9.20594781637192,5331.81787109375,..,..,..,5.59110021591187,0.949422218240633,14.096,1.80566369778429,21133982,85.904
Austria,AUT,106.607445296677,..,36.7542201329014,1878456,21.3519966772628,3.05212,12850.61,360142200000,40936.5726838537,356955982344.074,40574.4023226508,..,..,7.0899,10.3966169059277,4939.87548828125,23,10.7,29.7,5.49900007247925,0.244636214954562,41.906,1.02047862584527,5110858,58.094
Azerbaijan,AZE,119.197205757832,..,41.4222785039453,2258971,22.9243295613075,0.18468,736.71,28752300000,2917.82055124029,..,..,..,..,..,6.65182918310165,275.809356689453,..,..,..,5,0.262814273881358,44.657,1.56477337981076,5453517,55.343
"Bahamas, The",BHS,38.137962037962,..,..,..,..,..,20.4,10597410000,27759.278711026,10264810341.312,26888.0538905546,..,..,3.2512,5.75888901948929,1771.53552246094,..,..,..,9.80000019073486,0.465907400073506,17.075,1.12036469215507,316575,82.925
