CountryCode,GBXPDRSDVGDZS,IPJRNARTCSC
AFG,..,111.72
ALB,..,180.36
DZA,..,5231.44
ASM,..,..
AND,..,3.6
AGO,..,30.12
ATG,..,5.63
ARB,..,58771.07
ARG,..,8811.13
ARM,0.18913,521.33
ABW,..,..
AUS,..,53610.22
AUT,3.17177,12362.28
AZE,0.18484,761.43
BHS,..,19.77
BHR,..,321.51
BGD,..,3135.08
BRB,..,37.97
BLR,0.60817,1179.81
BEL,2.82119,15688.13
BLZ,..,9.11
BEN,..,227.74
BMU,0.25998,..
BTN,..,52.64
BOL,..,102.8
BIH,0.1988,703.79
BWA,..,280.57
BRA,..,60147.96
VGB,..,..
BRN,0.27764,293.91
BGR,0.76803,3311.27
BFA,..,251.99
BDI,0.21028,21.12
CPV,..,8.69
KHM,..,145.74
CMR,..,875.62
CAN,1.56625,59967.79
CSS,..,567.95
CYM,..,..
CAF,..,20.47
CEB,1.20390523766202,89500.84
TCD,..,15.45
CHI,..,..
CHL,..,7121.74
CHN,2.18568,528263.25
COL,0.23699,7195.02
COM,..,3.28
COD,..,148.72
COG,..,66.68
CRI,..,507.41
CIV,..,248.14
HRV,0.97489,4276.9
CUB,..,968.74
CUW,..,..
CYP,0.55859,1245.42
CZE,1.92829,15576.6
,,
DNK,3.06408,13978.8
DJI,..,6.16
DMA,..,12.6
DOM,..,49.26
EAR,..,357984.941513648
EAS,2.51109311567032,866663.165708603
TEA,2.04725977166555,598781.99430049
EAP,2.04725977166555,598879.286126005
ECU,..,2142.19
EGY,0.72388,13326.67
SLV,..,45.44
GNQ,..,2.6
ERI,..,21.37
EST,1.42515,1414.72
SWZ,..,34.05
ETH,..,1994.44
EMU,2.20985723384949,414171.55
ECS,1.97688679674698,794017.985067441
TEC,0.866813533303776,191667.3
ECA,0.814701919555448,141382.75
EUU,2.18415069905409,524444.25
FRO,..,..
FJI,..,139.78
FIN,2.77381,10598.94
FCS,..,18436.1810440857
FRA,2.20002,66352.18
PYF,..,..
GAB,..,63.78
GMB,0.0713,33.83
GEO,0.30457,550.41
DEU,3.09415,104396.12
GHA,..,1275.99
GIB,..,..
GRC,1.17732,10906.99
GRL,..,30
GRD,..,46.17
GUM,..,..
GTM,..,99.89
GIN,..,27.84
GNB,..,15.01
GUY,..,13.7
HTI,..,29.18
HPC,..,8868.9156894577
HIC,2.58993422834337,1450445.77223241
HND,..,45.1
HKG,0.86096,..
HUN,1.55484,6700.92
IBD,1.5500975041826,1134258.57396341
IBT,1.54579776689226,1169198.15117054
IDB,..,21699.2
IDX,..,13241.1487923632
IDA,..,34939.9787094466
ISL,2.02994,680.89
IND,0.64998,135787.79
IDN,0.22634,26947.57
IRN,..,48305.64
IRQ,0.04306,6073.39
IRL,1.14647,7174.11
IMN,..,..
ISR,4.95278,12234.69
ITA,1.39909,71240.28
JAM,..,163.85
JPN,3.26451,98792.5
JOR,..,2627.29
KAZ,0.12286,2367.46
KEN,..,1246.76
KIR,..,0.62
PRK,..,87.42
KOR,4.81009,66376.17
XKX,..,278.43
KWT,0.06192,1003.84
KGZ,..,137.06
LAO,..,86.91
,,
LTE,1.85103437309155,821699.001845436
LCN,..,108227.614330182
LAC,..,99168.16
TLA,..,106588.64
LVA,0.63068,1417.73
LDC,..,10876.0322194657
LBN,..,1776.31
LSO,..,18.54
LBR,..,25.39
LBY,..,161.9
LIE,..,30.4
LTU,0.94496,2267.3
LMY,1.56817158119884,1111823.75476107
LIC,..,5307.82
LMC,..,213355.474790202
LUX,1.23562,869.1
MAC,0.20351,..
MDG,..,127.41
MWI,..,231.21
MYS,..,23661.33
MDV,..,7.44
MLI,..,90.37
MLT,0.57462,422.02
MHL,..,2.31
MRT,0.01419,20.32
MUS,0.34597,126.94
MEX,0.31223,16345.64
FSM,..,4.37
MEA,..,119302.31
TMN,..,88542.52
MNA,..,88918.47
MIC,1.56896200529394,1106516.9899547
MDA,0.25498,210.37
MCO,..,45.12
MNG,0.10293,140.85
MNE,0.36763,249.51
MAR,..,5056.77
MOZ,..,139.25
MMR,..,230.65
NAM,..,156.31
NRU,..,0
NPL,..,792.11
NLD,2.16374,30457.33
NCL,..,..
NZL,..,7888.75
NIC,..,43.67
NER,..,55.18
