CountryCode,GBXPDRSDVGDZS,IPJRNARTCSC
NGA,..,5602.28
NAC,2.73956861431335,482867.06854002
MKD,0.36398,493.05
MNP,..,..
NOR,2.06985,11802.78
INX,..,..
OED,2.57831080473919,1422262.79
OMN,0.21961,856.43
OSS,0.702124579000958,6978.41384848077
PSS,..,189.45349153955
PAK,..,12904.31
PLW,..,6.51
PAN,..,172.88
PNG,..,64.12
PRY,..,97.98
PER,0.12704,1629.88
PHL,..,2237.34
POL,1.21228,35662.64
PRT,1.36552,14294.56
PST,2.63905548323954,1336298.34969713
PRE,..,18167.72
PRI,..,515.42
QAT,0.50729,1502.58
ROU,0.5051,10345.01
RUS,0.98988,81579.36
RWA,..,169.52
WSM,..,11.05
SMR,..,10.81
STP,..,0.73
SAU,..,10897.88
SEN,..,388.32
SRB,0.92132,4523.42
SYC,..,9.53
SLE,..,40.72
SGP,..,11458.63
SXM,..,..
SVK,0.83252,5321.6
SVN,1.94221,3206.15
SST,..,7736.44529909576
SLB,..,13.2
SOM,..,9.74
ZAF,..,13008.74
SAS,0.64998,154138.63
TSA,0.64998,154138.63
SSD,..,9.08
ESP,1.237,54536.59
LKA,..,1347.54
KNA,..,25.53
LCA,..,3.81
MAF,..,..
VCT,..,1.22
SSF,..,29479.1100079949
TSS,..,29479.1100079949
SSA,..,29342.6444884069
SDN,..,397.77
SUR,..,17.38
SWE,3.33937,20420.56
CHE,..,21378.56
SYR,..,274.65
TJK,0.09703,62.4
TZA,..,602.71
THA,..,12513.75
TLS,..,13.92
TGO,..,86.06
TON,..,4.82
TTO,..,211.21
TUN,0.59997,5564.86
TUR,..,33535.8
TKM,..,3.69
TCA,..,..
TUV,..,1.48
UGA,..,673.07
UKR,0.47134,10379.89
ARE,1.30316,3144.89
GBR,1.72412,97680.9
USA,2.83766,422807.71
UMC,1.7264847853465,893168.998788705
URY,..,852.23
UZB,0.12976,353.91
VUT,..,6.45
VEN,..,639.03
VNM,..,4286.48
VIR,..,..
PSE,..,375.95
WLD,2.27364007357421,2554373.36151358
YEM,..,137.44
ZMB,..,213.07
ZWE,..,359.33
