CountryCode,NYGDPPCAPKN,NYGDPMKTPKN,SIPOVGINI,NYGNPMKTPKN,NYGNPPCAPKN
XKX,3177.51904032855,5701257183.07142,..,5837483264.13965,3253.4428151179
KWT,9371.05353043902,39424800000,..,..,..
KGZ,51312.6090281954,331320385234.155,..,305842996512.682,47366.8473280803
LAO,18055793.4027479,129450198290298,..,..,..
,,,,,
LTE,..,..,..,..,..
LCN,..,..,..,..,..
LAC,..,..,..,..,..
TLA,..,..,..,..,..
LVA,14375.6007588919,27497491000,..,..,..
LDC,..,..,..,..,..
LBN,8831293.71929659,60544815158200,..,60260950127636.2,8789888.10173883
LSO,11250.9645579848,23911314944.2192,..,27452976419.5021,12917.418612383
LBR,284.216751657865,1403284400,..,..,..
LBY,5170.81541853782,35044953300,..,..,..
LIE,..,..,..,..,..
LTU,15422.9329664667,42981308200,..,..,..
LMY,..,..,..,..,..
LIC,..,..,..,..,..
LMC,..,..,..,..,..
LUX,94314.8176468311,58465378200,..,..,..
MAC,639030.673984495,409264000000,..,..,..
MDG,825162.885101201,22254071173300,..,21547769653069.4,798973.798365284
MWI,78795.3555365978,1467858743066.33,..,1425161854054.51,76503.3662250345
MYS,44460.1022629986,1420490352700,..,1379453616899.34,43175.6884218421
MDV,140748.05114577,74730600000,..,..,..
MLI,276384.647526499,5433177969000,..,5284981129016.36,268845.90471021
MLT,21831.6196859464,10973729130,..,9994064888.27246,19882.6325283495
MHL,..,..,..,..,..
MRT,52679.3865960065,238410889200,..,235593778779.122,52056.9165006051
MUS,293102.174509031,370982646400,..,..,..
MEX,145205.029171386,18524608410000,..,17973628734159.7,140886.178368578
FSM,..,..,..,..,..
MEA,..,..,..,..,..
TMN,..,..,..,..,..
MNA,..,..,..,..,..
MIC,..,..,..,..,..
MDA,45961.4268276619,122148788509.987,..,..,..
MCO,..,..,..,..,..
MNG,5903449.32684019,19039609955097.2,..,16592370352537.6,5144654.63417478
MNE,4964.72126762012,3088736795.27338,..,3101258168.44198,4984.84765966657
MAR,27042.4356386607,1002036684000,..,982119723125.433,26504.9272408461
MOZ,22230.8239376388,675062000000,..,658077298733.51,21671.4917526117
MMR,1697125.89178215,91721881614241,..,..,..
NAM,57640.9940549923,143787188900,..,139454118410.635,55903.9652401997
NRU,6915.18957157619,87000000,..,..,..
NPL,33202.6786973368,949885806075.286,..,962051535825.259,33627.9243567871
NLD,43731.0980594651,757984563000,..,..,..
NCL,..,..,..,..,..
NZL,58686.271995119,288560399400,..,..,..
NIC,26254.0596580675,171846000000,..,..,..
NER,308089.991491037,7181797986000,..,7074622382747.13,303492.29454125
NGA,358742.052562962,72094093995700,..,..,..
NAC,..,..,..,..,..
MKD,224640.849663948,468030000000,..,448663055246.706,215345.276891317
MNP,..,..,..,..,..
NOR,616445.420778564,3296686000000,..,..,..
INX,..,..,..,..,..
OED,..,..,..,..,..
OMN,5925.67848432136,29480167500,..,..,..
OSS,..,..,..,..,..
PSS,..,..,..,..,..
PAK,61241.8743799042,13262866000000,..,14145557690553.2,65317.7425692568
PLW,..,..,..,..,..
PAN,10140.5200922467,43061100000,..,..,..
PNG,7635.73287584724,67012024013.3188,..,..,..
